Stock,Sector
360ONE.NS,Other
3MINDIA.NS,Other
ABB.NS,IT
ACC.NS,Infrastructure
ACMESOLAR.NS,Power
AIAENG.NS,IT
APLAPOLLO.NS,IT
AUBANK.NS,Other
AWL.NS,FMCG
AADHARHFC.NS,Other
AARTIIND.NS,Other
AAVAS.NS,Other
ABBOTINDIA.NS,Pharma
ACE.NS,IT
ACUTAAS.NS,Pharma
ADANIENSOL.NS,Power
ADANIENT.NS,Metals
ADANIGREEN.NS,Power
ADANIPORTS.NS,Other
ADANIPOWER.NS,Power
ATGL.NS,Energy
ABCAPITAL.NS,Other
ABFRL.NS,FMCG
ABLBL.NS,FMCG
ABREL.NS,Other
ABSLAMC.NS,Other
CPPLUS.NS,IT
AEGISLOG.NS,Energy
AEGISVOPAK.NS,Energy
AFCONS.NS,Infrastructure
AFFLE.NS,IT
AJANTPHARM.NS,Pharma
ALKEM.NS,Pharma
ABDL.NS,FMCG
ARE&M.NS,Auto
AMBER.NS,FMCG
AMBUJACEM.NS,Infrastructure
ANANDRATHI.NS,Other
ANANTRAJ.NS,Other
ANGELONE.NS,Other
ANTHEM.NS,Pharma
ANURAS.NS,Other
APARINDS.NS,IT
APOLLOHOSP.NS,Pharma
APOLLOTYRE.NS,Auto
APTUS.NS,Other
ASAHIINDIA.NS,Auto
ASHOKLEY.NS,IT
ASIANPAINT.NS,FMCG
ASTERDM.NS,Pharma
ASTRAL.NS,IT
ATHERENERG.NS,Auto
ATUL.NS,Other
AUROPHARMA.NS,Pharma
AIIL.NS,Other
DMART.NS,FMCG
AXISBANK.NS,Other
BEML.NS,IT
BLS.NS,FMCG
BSE.NS,Other
BAJAJ-AUTO.NS,Auto
BAJFINANCE.NS,Other
BAJAJFINSV.NS,Other
BAJAJHLDNG.NS,Other
BAJAJHFL.NS,Other
BALKRISIND.NS,Auto
BALRAMCHIN.NS,FMCG
BANDHANBNK.NS,Other
BANKBARODA.NS,Other
BANKINDIA.NS,Other
MAHABANK.NS,Other
BATAINDIA.NS,FMCG
BAYERCROP.NS,Other
BELRISE.NS,Auto
BERGEPAINT.NS,FMCG
BDL.NS,IT
BEL.NS,IT
BHARATFORG.NS,Auto
BHEL.NS,IT
BPCL.NS,Energy
BHARTIARTL.NS,Other
BHARTIHEXA.NS,Other
BIKAJI.NS,FMCG
GROWW.NS,Other
BIOCON.NS,Pharma
BSOFT.NS,IT
BLUEDART.NS,Other
BLUEJET.NS,Pharma
BLUESTARCO.NS,FMCG
BBTC.NS,FMCG
BOSCHLTD.NS,Auto
FIRSTCRY.NS,FMCG
BRIGADE.NS,Other
BRITANNIA.NS,FMCG
MAPMYINDIA.NS,IT
CCL.NS,FMCG
CESC.NS,Power
CGPOWER.NS,IT
CRISIL.NS,Other
CANFINHOME.NS,Other
CANBK.NS,Other
CANHLIFE.NS,Other
CAPLIPOINT.NS,Pharma
CGCL.NS,Other
CARBORUNIV.NS,IT
CARTRADE.NS,FMCG
CASTROLIND.NS,Energy
CEATLTD.NS,Auto
CEMPRO.NS,Infrastructure
CENTRALBK.NS,Other
CDSL.NS,Other
CHALET.NS,FMCG
CHAMBLFERT.NS,Other
CHENNPETRO.NS,Energy
CHOICEIN.NS,Other
CHOLAHLDNG.NS,Other
CHOLAFIN.NS,Other
CIPLA.NS,Pharma
CUB.NS,Other
CLEAN.NS,Other
COALINDIA.NS,Energy
COCHINSHIP.NS,IT
COFORGE.NS,IT
COHANCE.NS,Pharma
COLPAL.NS,FMCG
CAMS.NS,Other
CONCORDBIO.NS,Pharma
CONCOR.NS,Other
COROMANDEL.NS,Other
CRAFTSMAN.NS,Auto
CREDITACC.NS,Other
CROMPTON.NS,FMCG
CUMMINSIND.NS,IT
CYIENT.NS,IT
DCMSHRIRAM.NS,Other
DLF.NS,Other
DOMS.NS,FMCG
DABUR.NS,FMCG
DALBHARAT.NS,Infrastructure
DATAPATTNS.NS,IT
DEEPAKFERT.NS,Other
DEEPAKNTR.NS,Other
DELHIVERY.NS,Other
DEVYANI.NS,FMCG
DIVISLAB.NS,Pharma
DIXON.NS,FMCG
LALPATHLAB.NS,Pharma
DRREDDY.NS,Pharma
EIDPARRY.NS,FMCG
EIHOTEL.NS,FMCG
EICHERMOT.NS,Auto
ELECON.NS,IT
ELGIEQUIP.NS,IT
EMAMILTD.NS,FMCG
EMCURE.NS,Pharma
EMMVEE.NS,IT
ENDURANCE.NS,Auto
ENGINERSIN.NS,Infrastructure
ERIS.NS,Pharma
ESCORTS.NS,IT
ETERNAL.NS,FMCG
EXIDEIND.NS,Auto
NYKAA.NS,FMCG
FEDERALBNK.NS,Other
FACT.NS,Other
FINCABLES.NS,IT
FSL.NS,Other
FIVESTAR.NS,Other
FORCEMOT.NS,Auto
FORTIS.NS,Pharma
GAIL.NS,Energy
GVT&D.NS,IT
GMRAIRPORT.NS,Other
GABRIEL.NS,Auto
GALLANTT.NS,IT
GRSE.NS,IT
GICRE.NS,Other
GILLETTE.NS,FMCG
GLAND.NS,Pharma
GLAXO.NS,Pharma
GLENMARK.NS,Pharma
MEDANTA.NS,Pharma
GODIGIT.NS,Other
GPIL.NS,IT
GODFRYPHLP.NS,FMCG
GODREJCP.NS,FMCG
GODREJIND.NS,Other
GODREJPROP.NS,Other
GRANULES.NS,Pharma
GRAPHITE.NS,IT
GRASIM.NS,Infrastructure
GRAVITA.NS,Metals
GESHIP.NS,Other
FLUOROCHEM.NS,Other
GMDCLTD.NS,Metals
GSPL.NS,Energy
HEG.NS,IT
HBLENGINE.NS,IT
HCLTECH.NS,IT
HDBFS.NS,Other
HDFCAMC.NS,Other
HDFCBANK.NS,Other
HDFCLIFE.NS,Other
HFCL.NS,Other
HAVELLS.NS,FMCG
HEROMOTOCO.NS,Auto
HEXT.NS,IT
HSCL.NS,Other
HINDALCO.NS,Metals
HAL.NS,IT
HINDCOPPER.NS,Metals
HINDPETRO.NS,Energy
HINDUNILVR.NS,FMCG
HINDZINC.NS,Metals
POWERINDIA.NS,IT
HOMEFIRST.NS,Other
HONASA.NS,FMCG
HONAUT.NS,IT
HUDCO.NS,Other
HYUNDAI.NS,Auto
ICICIBANK.NS,Other
ICICIGI.NS,Other
ICICIAMC.NS,Other
ICICIPRULI.NS,Other
IDBI.NS,Other
IDFCFIRSTB.NS,Other
IFCI.NS,Other
IIFL.NS,Other
IRB.NS,Infrastructure
IRCON.NS,Infrastructure
ITCHOTELS.NS,FMCG
ITC.NS,FMCG
ITI.NS,Other
INDGN.NS,Pharma
INDIACEM.NS,Infrastructure
INDIAMART.NS,FMCG
INDIANB.NS,Other
IEX.NS,Other
INDHOTEL.NS,FMCG
IOC.NS,Energy
IOB.NS,Other
IRCTC.NS,FMCG
IRFC.NS,Other
IREDA.NS,Other
IGL.NS,Energy
INDUSTOWER.NS,Other
INDUSINDBK.NS,Other
NAUKRI.NS,FMCG
INFY.NS,IT
INOXWIND.NS,IT
INTELLECT.NS,IT
INDIGO.NS,Other
IGIL.NS,Other
IKS.NS,IT
IPCALAB.NS,Pharma
JBCHEPHARM.NS,Pharma
JKCEMENT.NS,Infrastructure
JBMA.NS,Auto
JKTYRE.NS,Auto
JMFINANCIL.NS,Other
JSWCEMENT.NS,Infrastructure
JSWDULUX.NS,FMCG
JSWENERGY.NS,Power
JSWINFRA.NS,Other
JSWSTEEL.NS,Metals
JAINREC.NS,Metals
JPPOWER.NS,Power
J&KBANK.NS,Other
JINDALSAW.NS,IT
JSL.NS,Metals
JINDALSTEL.NS,Metals
JIOFIN.NS,Other
JUBLFOOD.NS,FMCG
JUBLINGREA.NS,Other
JUBLPHARMA.NS,Pharma
JWL.NS,IT
JYOTICNC.NS,IT
KPRMILL.NS,Other
KEI.NS,IT
KPITTECH.NS,IT
KAJARIACER.NS,FMCG
KPIL.NS,Infrastructure
KALYANKJIL.NS,FMCG
KARURVYSYA.NS,Other
KAYNES.NS,IT
KEC.NS,Infrastructure
KFINTECH.NS,Other
KIRLOSENG.NS,IT
KOTAKBANK.NS,Other
KIMS.NS,Pharma
LTF.NS,Other
LTTS.NS,IT
LGEINDIA.NS,FMCG
LICHSGFIN.NS,Other
LTFOODS.NS,FMCG
LTM.NS,IT
LT.NS,Infrastructure
LATENTVIEW.NS,IT
LAURUSLABS.NS,Pharma
THELEELA.NS,FMCG
